City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Sayyan,YE,65.62,broken clouds,15.17,44.32,الاستاذة مروى اليوسفي
411,Chitral,PK,69.76,overcast clouds,35.85,71.79,PTDC Motel Chitral
414,Makat,KZ,75.06,few clouds,47.65,53.35,Gostinitsa Daulet
416,Mucurapo,TT,79.0,few clouds,10.67,-61.53,Courtyard by Marriott Port of Spain
419,Toccoa,US,73.4,overcast clouds,34.58,-83.33,Trembly Bald Mountain Resort
421,Kununurra,AU,89.6,clear sky,-15.77,128.73,Hotel Kununurra
422,Punta Gorda,US,81.0,scattered clouds,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
425,Port-Gentil,GA,78.39,overcast clouds,-0.72,8.78,Fengshui Residence
426,Tizapan El Alto,MX,78.8,smoke,20.17,-103.07,Hotel Posada San Francisco
430,Ende,ID,84.47,broken clouds,-8.84,121.66,Dwi Putra Hotel - Ende
431,Brainerd,US,68.0,overcast clouds,46.36,-94.2,Holiday Inn Express & Suites Brainerd-Baxter
433,Upata,VE,77.0,overcast clouds,8.01,-62.4,Posada Villa Nela
434,El Alto,PE,69.19,overcast clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
437,Johnson City,US,62.6,clear sky,36.31,-82.35,Hampton Inn Johnson City
439,Silver City,US,71.01,clear sky,32.77,-108.28,Copper Manor Motel
441,Pitimbu,BR,74.91,overcast clouds,-7.47,-34.81,Reserva do Abiaí
442,Conceicao Do Araguaia,BR,72.75,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
445,Alice Springs,AU,66.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
446,Mirnyy,RU,64.4,clear sky,62.54,113.96,"Гостиница ""УЮТ"""
449,La Macarena,CO,72.95,broken clouds,2.18,-73.78,AGENCIA DE VIAJES Y TURISMO CRISTALES MACARENA
451,Lompoc,US,60.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
455,Weligama,LK,84.7,overcast clouds,5.97,80.42,Weligama Bay Resort
456,Povoa De Varzim,PT,62.01,few clouds,41.38,-8.76,Grande Hotel da Póvoa
457,Jalingo,NG,77.0,overcast clouds,8.88,11.37,Debright Motel
458,Banda Aceh,ID,86.02,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
461,Tateyama,JP,71.01,light rain,34.98,139.87,Tateyama Seaside Hotel
462,Churachandpur,IN,71.6,mist,24.33,93.67,Elite Boy's Hostel
463,Ballina,AU,75.99,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
465,Faya,SA,68.0,clear sky,18.39,42.45,مقبرة ال مجمل
467,Dawson Creek,CA,60.8,few clouds,55.77,-120.24,Peace Villa Motel
474,Nemuro,JP,75.2,few clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
475,Chirongui,YT,80.6,clear sky,-12.93,45.15,La Villa Mahatsara
477,Axim,GH,78.44,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
478,Lhokseumawe,ID,85.68,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
479,Kota Kinabalu,MY,88.0,thunderstorm,5.97,116.07,Gaya Centre Hotel
482,Kakamega,KE,60.12,broken clouds,0.28,34.75,Amazon Bed & Breakfast
484,La Ronge,CA,68.0,overcast clouds,55.1,-105.28,Northland Motor Hotel
488,Camapua,BR,66.27,clear sky,-19.53,-54.04,Comercial Estrela
489,Tarauaca,BR,72.7,overcast clouds,-8.16,-70.77,Flat Temporada
490,Makakilo City,US,84.2,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
494,Maryborough,AU,70.0,overcast clouds,-25.53,152.7,Blue Shades Motel
495,Naze,JP,80.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
497,Ambilobe,MG,70.59,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
499,Cocorit,MX,84.51,overcast clouds,27.58,-109.97,motel kaba
502,Dakar,SN,71.6,broken clouds,14.69,-17.44,Novotel Dakar
504,Hamada,JP,77.0,light intensity shower rain,34.88,132.08,Shimane Hamada Washington Hotel Plaza
506,Saint-Pierre,RE,69.8,clear sky,-21.34,55.48,Lindsey Hôtel
512,Itacoatiara,BR,75.04,overcast clouds,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
515,Dwarka,IN,85.69,broken clouds,22.24,68.97,Hotel Narayan Avezika Comfort
518,Rancho Palos Verdes,US,64.0,overcast clouds,33.74,-118.39,Terranea Resort
523,Kupang,ID,89.6,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
524,Grand-Santi,GF,72.41,scattered clouds,4.25,-54.38,Hotel La Villa Couacou
530,Guane,CU,77.9,overcast clouds,22.2,-84.09,base de Campismo LosPortales de Guane
534,Belle Fourche,US,75.2,clear sky,44.67,-103.85,Kings Inn
536,Yinchuan,CN,80.22,broken clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
537,Nelson Bay,AU,73.4,scattered clouds,-32.72,152.15,Mantra Nelson Bay
541,Zyryanka,RU,61.5,overcast clouds,65.75,150.85,Zyryanka
543,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
549,Trairi,BR,74.91,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
551,Kavaratti,IN,84.2,scattered clouds,10.57,72.64,Bismillah Hotel And Lodging
552,Kulob,TJ,80.6,scattered clouds,37.91,69.78,Hotel Shelkovyi put
555,Porto Walter,BR,73.13,overcast clouds,-8.27,-72.74,Hotel Silva
556,Tual,ID,82.58,clear sky,-5.67,132.75,Grand Vilia Hotel
558,Kabinda,CD,69.08,scattered clouds,-6.13,24.48,Village Mianda Mutole
559,Marsh Harbour,BS,78.69,overcast clouds,26.54,-77.06,Abaco Beach Resort
