City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
83,Vila Franca Do Campo,PT,37.72,-25.43,60.8,77,40,9.17,scattered clouds,0.0,0.0
84,Vaini,TO,-21.2,-175.2,73.4,100,75,4.7,broken clouds,0.0,0.0
85,Samarai,PG,-10.62,150.67,79.88,84,44,14.32,moderate rain,1.44,0.0
86,Kisangani,CD,0.52,25.2,69.28,98,97,1.25,light rain,0.61,0.0
87,Barrow,US,71.29,-156.79,33.8,86,90,24.16,overcast clouds,0.0,0.0
88,Marawi,PH,8.0,124.29,84.99,78,31,8.01,moderate rain,1.48,0.0
89,Pevek,RU,69.7,170.31,40.6,70,0,7.72,clear sky,0.0,0.0
90,Abnub,EG,27.27,31.15,68.0,49,0,11.41,clear sky,0.0,0.0
91,Boden,SE,65.83,21.69,59.0,58,23,4.7,few clouds,0.0,0.0
92,Bredasdorp,ZA,-34.53,20.04,44.6,93,0,4.7,clear sky,0.0,0.0
93,Newport,GB,51.59,-3.0,55.99,73,0,12.55,clear sky,0.0,0.0
94,Dolinsk,RU,47.35,142.8,68.0,49,0,11.18,clear sky,0.0,0.0
95,Kodiak,US,57.79,-152.41,48.2,87,90,12.75,overcast clouds,0.0,0.0
96,Hithadhoo,MV,-0.6,73.08,84.65,64,56,6.46,broken clouds,0.0,0.0
97,Jamestown,US,42.1,-79.24,44.6,75,1,8.05,clear sky,0.0,0.0
98,Westport,US,41.14,-73.36,57.2,53,1,12.75,clear sky,0.0,0.0
99,Adrar,MR,20.5,-10.07,86.29,29,100,3.6,overcast clouds,0.0,0.0
100,Touros,BR,-5.2,-35.46,75.2,100,40,4.7,shower rain,0.0,0.0
101,Port Elizabeth,ZA,-33.92,25.57,57.2,87,0,9.17,clear sky,0.0,0.0
102,San Patricio,MX,19.22,-104.7,73.76,85,31,6.33,scattered clouds,0.0,0.0
103,Gizo,SB,-8.1,156.84,84.61,70,54,4.09,broken clouds,0.0,0.0
104,Green River,US,41.53,-109.47,66.2,37,20,6.93,few clouds,0.0,0.0
105,Roros,NO,62.57,11.38,39.2,93,13,3.56,few clouds,0.0,0.0
106,Krasnyy Luch,UA,48.14,38.94,57.09,87,0,10.22,clear sky,0.0,0.0
107,Kochi,IN,9.94,76.26,82.4,83,75,6.93,mist,0.0,0.0
108,Bethel,US,41.37,-73.41,51.8,50,1,4.7,clear sky,0.0,0.0
109,Aksu,CN,41.12,80.26,86.09,15,0,2.95,clear sky,0.0,0.0
110,Praya,CV,14.92,-23.51,71.6,78,20,11.41,few clouds,0.0,0.0
111,Meulaboh,ID,4.14,96.13,85.68,70,100,5.79,overcast clouds,0.0,0.0
112,Butaritari,KI,3.07,172.79,83.43,78,0,15.1,light rain,0.2,0.0
113,Nishihara,JP,26.18,127.76,84.2,65,75,9.17,broken clouds,0.0,0.0
114,Lata,PT,40.16,-8.33,63.0,96,72,4.0,broken clouds,0.0,0.0
115,Porto Murtinho,BR,-21.7,-57.88,63.21,95,99,7.38,light rain,0.63,0.0
116,Ostrovnoy,RU,68.05,39.51,40.59,81,95,7.81,overcast clouds,0.0,0.0
117,Dalbandin,PK,28.89,64.41,93.07,8,0,8.86,clear sky,0.0,0.0
118,Cherskiy,RU,68.75,161.3,56.41,42,98,8.19,overcast clouds,0.0,0.0
119,Churapcha,RU,62.0,132.43,59.72,34,61,5.44,broken clouds,0.0,0.0
120,Alyangula,AU,-13.85,136.42,86.0,62,16,3.36,few clouds,0.0,0.0
121,Vilyuysk,RU,63.76,121.62,65.84,27,67,6.98,broken clouds,0.0,0.0
122,Kilindoni,TZ,-7.91,39.67,79.32,80,6,22.21,light rain,0.24,0.0
123,Springdale,US,36.19,-94.13,73.4,56,1,5.82,clear sky,0.0,0.0
124,Thompson,CA,55.74,-97.86,60.8,36,90,5.82,overcast clouds,0.0,0.0
125,Lasa,IT,46.62,10.7,44.6,87,5,6.93,clear sky,0.0,0.0
126,Havoysund,NO,71.0,24.66,51.8,76,100,26.4,overcast clouds,0.0,0.0
127,Komsomolskiy,UZ,40.43,71.72,84.2,20,97,2.24,overcast clouds,0.0,0.0
